lab_id,sampid,colldate,comment,al,as,ba,be,ca,cd,cr,cu,fe,k,li,mg,mn,na,ni,pb,p,sb,si,sn,sr,s,toc,v,zn,al_flags,as_flags,ba_flags,be_flags,ca_flags,cd_flags,cr_flags,cu_flags,fe_flags,k_flags,li_flags,mg_flags,mn_flags,na_flags,ni_flags,pb_flags,p_flags,sb_flags,si_flags,sn_flags,sr_flags,s_flags,toc_flags,v_flags,zn_flags
0,DET. LIMIT MG/L,1/1/1960,NA,0.004,0.004,0.001,0.005,0.01,3e-4,0.001,0.001,0.001,0.3,0.005,0.005,0.001,0.03,0.001,0.002,0.005,0.003,0.02,0.001,0.001,0.003,0.23,0.001,5e-4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
232780,1000_1_BLANK_BLANK,7/27/2024,NA,0.004,0.004,0.001,0.005,0.0948,3e-4,0.001,0.001,0.0188,0.3055,0.005,0.0216,0.0055,0.4173,0.001,0.0036,0.005,0.003,0.1319,0.001,0.001,0.0347,NA,0.0048,6e-4,ND,ND,ND,ND,L,ND,ND,ND,L,L,ND,L,L,L,ND,L,ND,ND,L,ND,ND,L,,L,L
232781,1000_1_SHALLOW_UNKNOWN,7/27/2024,NA,0.0696,0.004,0.0512,0.005,22.26,3e-4,0.001,0.0017,0.1802,2.566,0.005,10.12,0.0125,17.86,0.001,0.002,0.0332,0.003,8.161,0.001,0.1229,1.848,NA,0.0114,0.0013,L,ND,L,ND,,ND,ND,L,L,,ND,,L,,ND,ND,L,ND,,ND,L,L,,L,L
232782,1000_1_SHALLOW_DUPLICATE,7/27/2024,NA,0.0694,0.004,0.0515,0.005,22.41,3e-4,0.001,0.0011,0.1248,2.443,0.005,10.15,0.0078,17.91,0.001,0.002,0.0345,0.003,8.266,0.001,0.1237,1.845,NA,0.0111,0.0012,L,ND,L,ND,,ND,ND,L,L,,ND,,L,,ND,ND,L,ND,,ND,L,L,,L,L
232783,1000_1_DEEP_UNKNOWN,7/27/2024,NA,0.5374,0.004,0.0608,0.005,22.99,3e-4,0.001,0.0085,1.154,2.544,0.005,10.58,0.0496,18.2,0.0013,0.003,0.0333,0.003,9.311,0.0012,0.1256,1.951,NA,0.0188,0.0071,,ND,L,ND,,ND,L,L,,,ND,,L,,L,L,L,ND,,L,L,L,,L,L
232784,1000_2_BLANK_BLANK,7/27/2024,NA,0.004,0.004,0.001,0.005,0.0902,3e-4,0.001,0.001,0.0038,0.3,0.005,0.0242,0.0016,0.1431,0.001,0.0048,0.005,0.003,0.1335,0.001,0.001,0.003,NA,0.0074,0.0013,ND,ND,ND,ND,L,ND,ND,ND,L,ND,ND,L,L,L,ND,L,ND,ND,L,ND,ND,ND,,L,L
232785,1000_2_SHALLOW_UNKNOWN,7/27/2024,NA,0.0069,0.004,0.0503,0.005,21.87,3e-4,0.001,0.001,0.0147,2.52,0.005,9.76,0.0037,16.91,0.001,0.005,0.0326,0.003,7.649,0.001,0.1196,1.772,NA,0.0135,0.0024,L,ND,L,ND,,ND,ND,ND,L,,ND,,L,,ND,L,L,ND,,ND,L,L,,L,L
232786,1000_2_SHALLOW_DUPLICATE,7/27/2024,NA,0.0045,0.004,0.0494,0.005,21.95,3e-4,0.001,0.0012,0.0093,2.554,0.005,9.777,0.003,16.99,0.001,0.0049,0.0258,0.003,7.678,0.001,0.1206,1.753,NA,0.016,0.001,L,ND,L,ND,,ND,ND,L,L,,ND,,L,,ND,L,L,ND,,ND,L,L,,L,L
232787,1000_2_DEEP_UNKNOWN,7/27/2024,NA,0.0114,0.004,0.0506,0.005,22.27,3e-4,0.001,0.0011,0.0234,2.659,0.005,9.802,0.0034,17.42,0.001,0.002,0.0285,0.003,7.894,0.001,0.121,1.922,NA,0.014,0.0269,L,ND,L,ND,,ND,ND,L,L,,ND,,L,,L,ND,L,ND,,ND,L,L,,L,L
232788,1000_3_BLANK_BLANK,7/27/2024,NA,0.004,0.004,0.001,0.005,0.053,3e-4,0.001,0.001,0.001,0.3,0.005,0.0085,0.0035,0.03,0.001,0.0029,0.005,0.003,0.1492,0.001,0.001,0.003,NA,0.0111,8e-4,ND,ND,ND,ND,L,ND,ND,ND,ND,ND,ND,L,L,ND,L,L,ND,ND,L,ND,ND,ND,,L,L
