campaign_date,RDate,RDateTime,CH4._ppm,CO2._ppm,GasT_C
2024-08-04,2024-08-04,2024-08-04T08:27:59Z,1.96671,395.493,21.5512
2024-08-04,2024-08-04,2024-08-04T08:28:04Z,2.09442,452.942,21.5842
2024-08-04,2024-08-04,2024-08-04T08:28:09Z,2.11151,450.328,21.6041
2024-08-04,2024-08-04,2024-08-04T08:28:14Z,2.08839,449.53,21.6274
2024-08-04,2024-08-04,2024-08-04T08:28:19Z,2.06065,449.664,21.6571
2024-08-04,2024-08-04,2024-08-04T08:28:24Z,2.03667,448.977,21.6857
2024-08-04,2024-08-04,2024-08-04T08:28:29Z,2.01509,447.626,21.7051
2024-08-04,2024-08-04,2024-08-04T08:28:34Z,2.01752,442.55,21.7302
2024-08-04,2024-08-04,2024-08-04T08:28:39Z,2.02835,443.65,21.7515
2024-08-04,2024-08-04,2024-08-04T08:28:44Z,2.03798,444.122,21.7801
2024-08-04,2024-08-04,2024-08-04T08:28:49Z,2.0279,443.485,21.7991
2024-08-04,2024-08-04,2024-08-04T08:28:54Z,2.01768,441.884,21.8236
2024-08-04,2024-08-04,2024-08-04T08:28:59Z,2.00131,440.952,21.8446
2024-08-04,2024-08-04,2024-08-04T08:29:05Z,1.98715,442.487,21.8725
2024-08-04,2024-08-04,2024-08-04T08:29:10Z,1.98037,443.218,21.9022
2024-08-04,2024-08-04,2024-08-04T08:29:15Z,1.98487,445.762,21.9294
2024-08-04,2024-08-04,2024-08-04T08:29:20Z,1.98676,455.16,21.9529
2024-08-04,2024-08-04,2024-08-04T08:29:25Z,2.00771,463.362,21.984
2024-08-04,2024-08-04,2024-08-04T08:29:30Z,2.06317,461.047,22.0242
2024-08-04,2024-08-04,2024-08-04T08:29:35Z,2.12433,454.697,22.0446
2024-08-04,2024-08-04,2024-08-04T08:29:40Z,2.1855,449.143,22.0784
2024-08-04,2024-08-04,2024-08-04T08:29:45Z,2.20433,442.952,22.1079
2024-08-04,2024-08-04,2024-08-04T08:29:50Z,2.1656,437.721,22.146
2024-08-04,2024-08-04,2024-08-04T08:29:55Z,2.14041,436.543,22.1778
