labid,studyid,sampid,colldate,flag,comment,AL_AES,AS_AES,BA_AES,BE_AES,CA_AES,CD_AES,CR_AES,CU_AES,FE_AES,K_AES,LI_AES,MG_AES,MN_AES,NA_AES,NI_AES,PB_AES,P_AES,SB_AES,SI_AES,SN_AES,SR_AES,S_AES,TOC_COMB,V_AES,ZN_AES
0,ANALYTE,DET. LIMIT MG/L,1/1/1960,,,-0.00400,-0.00400,-0.00100,-0.00500,-0.01000,-0.00030,-0.00100,-0.00100,-0.00100,-0.30000,-0.00500,-0.00500,-0.00100,-0.03000,-0.00100,-0.00200,-0.00500,-0.00300,-0.02000,-0.00100,-0.00100,-0.00300,-0.23000,-0.00100,-0.00050
232780,SURGE_2024,1000_1_BLANK_BLANK,7/27/2024,,,-0.00400,-0.00400,-0.00100,-0.00500,0.09480,-0.00030,-0.00100,-0.00100,0.01880,0.30550,-0.00500,0.02160,0.00550,0.41730,-0.00100,0.00360,-0.00500,-0.00300,0.13190,-0.00100,-0.00100,0.03470,9999999999999990.00000,0.00480,0.00060
232781,SURGE_2024,1000_1_SHALLOW_UNKNOWN,7/27/2024,,,0.06960,-0.00400,0.05120,-0.00500,22.26000,-0.00030,-0.00100,0.00170,0.18020,2.56600,-0.00500,10.12000,0.01250,17.86000,-0.00100,-0.00200,0.03320,-0.00300,8.16100,-0.00100,0.12290,1.84800,9999999999999990.00000,0.01140,0.00130
232782,SURGE_2024,1000_1_SHALLOW_DUPLICATE,7/27/2024,,,0.06940,-0.00400,0.05150,-0.00500,22.41000,-0.00030,-0.00100,0.00110,0.12480,2.44300,-0.00500,10.15000,0.00780,17.91000,-0.00100,-0.00200,0.03450,-0.00300,8.26600,-0.00100,0.12370,1.84500,9999999999999990.00000,0.01110,0.00120
232783,SURGE_2024,1000_1_DEEP_UNKNOWN,7/27/2024,,,0.53740,-0.00400,0.06080,-0.00500,22.99000,-0.00030,0.00100,0.00850,1.15400,2.54400,-0.00500,10.58000,0.04960,18.20000,0.00130,0.00300,0.03330,-0.00300,9.31100,0.00120,0.12560,1.95100,9999999999999990.00000,0.01880,0.00710
232784,SURGE_2024,1000_2_BLANK_BLANK,7/27/2024,,,-0.00400,-0.00400,-0.00100,-0.00500,0.09020,-0.00030,-0.00100,-0.00100,0.00380,-0.30000,-0.00500,0.02420,0.00160,0.14310,-0.00100,0.00480,-0.00500,-0.00300,0.13350,-0.00100,-0.00100,-0.00300,9999999999999990.00000,0.00740,0.00130
232785,SURGE_2024,1000_2_SHALLOW_UNKNOWN,7/27/2024,,,0.00690,-0.00400,0.05030,-0.00500,21.87000,-0.00030,-0.00100,-0.00100,0.01470,2.52000,-0.00500,9.76000,0.00370,16.91000,-0.00100,0.00500,0.03260,-0.00300,7.64900,-0.00100,0.11960,1.77200,9999999999999990.00000,0.01350,0.00240
232786,SURGE_2024,1000_2_SHALLOW_DUPLICATE,7/27/2024,,,0.00450,-0.00400,0.04940,-0.00500,21.95000,-0.00030,-0.00100,0.00120,0.00930,2.55400,-0.00500,9.77700,0.00300,16.99000,-0.00100,0.00490,0.02580,-0.00300,7.67800,-0.00100,0.12060,1.75300,9999999999999990.00000,0.01600,0.00100
232787,SURGE_2024,1000_2_DEEP_UNKNOWN,7/27/2024,,,0.01140,-0.00400,0.05060,-0.00500,22.27000,-0.00030,-0.00100,0.00110,0.02340,2.65900,-0.00500,9.80200,0.00340,17.42000,0.00100,-0.00200,0.02850,-0.00300,7.89400,-0.00100,0.12100,1.92200,9999999999999990.00000,0.01400,0.02690
232788,SURGE_2024,1000_3_BLANK_BLANK,7/27/2024,,,-0.00400,-0.00400,-0.00100,-0.00500,0.05300,-0.00030,-0.00100,-0.00100,-0.00100,-0.30000,-0.00500,0.00850,0.00350,-0.03000,0.00100,0.00290,-0.00500,-0.00300,0.14920,-0.00100,-0.00100,-0.00300,9999999999999990.00000,0.01110,0.00080
232789,SURGE_2024,1000_3_SHALLOW_DUPLICATE,7/27/2024,,,0.02830,-0.00400,0.05100,-0.00500,21.93000,-0.00030,-0.00100,-0.00100,0.07700,2.59500,-0.00500,10.11000,0.00900,17.53000,0.00110,-0.00200,0.03160,-0.00300,8.02000,-0.00100,0.12160,1.79900,9999999999999990.00000,0.01800,0.00140
