cdate mmdd10.,ctime time11.,id $char12.,subid $char9.,pos $char4.,rep 1.,matrix $char2.,tpe $char3.,anal$char6.,cup 3.,ddate mmdd10.,dtime time11.,dilf 2.,method $char5.,parea 8.,pht 8.,conc 10.,unit $char6.,cconc 10.,caleq $char90.,qcrec 8.,qcact 8.,qcflag $char5.,,,,,,,,,,,,,,,,,,,,,,,,,
Collection Date (CDATE),Collection Time (CTIME),site id (ID),long id (SUBID),CRoss id (POS),REP#,MATRIX,TYPE,Analyte Name (ANALY),Autosampler-Cup Number (CUP),Analyte Detection Date (DDATE),Analyte Detection Time (DTIME),Dilution Factor,METHOD,Peak Area (PAREA),Peak Height (PHT),Peak Concentration (CONC),UNIT,Peak Concentration (corrected for dilution factor),Calibration Equation (CALEQ),QC-Recover (QCREC),QC-Actual (QCACT),QC-Flag (QCFLAG),QC-Equation (QCEQ),Run file,NOTES,mm,dd,,m/d/,PasteAsValue,TP-TN Cal Curve ID,TP adjusted concentration <150 ppb (ug P/L),TP adjusted concentration <300 ppb (ug P/L),TP adjusted concentration <500 ppb (ug P/L),TN adjusted concentration <2800 ppb (ug P/L),TP-TN adjusted concentration full series (ug P/L),TP calculation <150 ppb (ug P/L),TP calculation <300 ppb (ug P/L),TP calculation <500 ppb (ug P/L),TN calculation <2800 ppb (ug P/L),TP-TN calculation full series (ug P/L),TP calibration eq < 150 ppb,TP calibration eq <300 ppb,TP calibration eq <500 ppb,TN calibration eq <2800 ppb,TP-TN calibration eq full series ppb,Combined ID
20230104,9:00:00 AM,QAC,STD,H,1,DI,CAL,TNH4,181,1/4/2023,10:28:41 AM,1,N-1.1,0.0172,0.00233,0,ug-N/L,0.0,Conc = 0.00 * Area^2 + 0.00 * Area + 0.00,,,TRUE,,OM_1-4-2023_10-25-42AM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20230104 09:00:00-QAC-STD-H-1-DI-CAL
20250121,9:00:00 AM,QAC,STD,H,1,DI,CAL,TNH4,181,1/21/2025,3:21:29 PM,1,N-1.1,0.0621,0.00371,0,ug-N/L,0.0,Conc = 0.00 * Area^2 + 0.00 * Area + 0.00,,,TRUE,,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20250121 09:00:00-QAC-STD-H-1-DI-CAL
20250121,9:00:00 AM,QAC,STD,G,1,DI,CAL,TNH4,182,1/21/2025,3:32:11 PM,1,N-1.1,0.408,0.0318,20,ug-N/L,20.0,Conc = - 1.30 * Area^2 + 79.0 * Area + 0.00,,,TRUE,,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20250121 09:00:00-QAC-STD-G-1-DI-CAL
20250121,9:00:00 AM,QAC,STD,F,1,DI,CAL,TNH4,183,1/21/2025,3:23:54 PM,1,N-1.1,1.25,0.444,60,ug-N/L,60.0,Conc = 30.3 * Area^2 + 10.4 * Area + 0.00,,,TRUE,,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20250121 09:00:00-QAC-STD-F-1-DI-CAL
20250121,9:00:00 AM,QAC,STD,E,1,DI,CAL,TNH4,184,1/21/2025,3:25:05 PM,1,N-1.1,1.46,0.112,80,ug-N/L,80.0,Conc = 31.0 * Area^2 + 9.80 * Area + 0.00,,,TRUE,,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20250121 09:00:00-QAC-STD-E-1-DI-CAL
20250121,9:00:00 AM,QAC,STD,D,1,DI,CAL,TNH4,185,1/21/2025,3:34:33 PM,1,N-1.1,5.66,0.453,300,ug-N/L,300.0,Conc = 0.0294 * Area^2 + 54.9 * Area + 0.00,,,TRUE,,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20250121 09:00:00-QAC-STD-D-1-DI-CAL
20250121,9:00:00 AM,QAC,STD,C,1,DI,CAL,TNH4,186,1/21/2025,3:27:27 PM,1,N-1.1,11.1,0.893,600,ug-N/L,600.0,Conc = - 1.80 * Area^2 + 73.0 * Area + 0.00,,,TRUE,,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20250121 09:00:00-QAC-STD-C-1-DI-CAL
20250121,9:00:00 AM,QAC,STD,B,1,DI,CAL,TNH4,187,1/21/2025,3:28:39 PM,1,N-1.1,21.3,2.04,1200,ug-N/L,1200.0,Conc = - 2.53 * Area^2 + 101 * Area + 0.00,,,TRUE,,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20250121 09:00:00-QAC-STD-B-1-DI-CAL
20250121,9:00:00 AM,QAC,STD,A,1,DI,CAL,TNH4,188,1/21/2025,3:29:50 PM,1,N-1.1,35.9,3.34,2000,ug-N/L,2000.0,Conc = - 1.30 * Area^2 + 78.9 * Area + 0.00,,,TRUE,,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20250121 09:00:00-QAC-STD-A-1-DI-CAL
