SN:3K430000005894 BD:Feb 22 2019 VC:6c0e877 MD5:fe950200890c20b9a008e6312c98ea70
SysTime,                      Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,         LTC0_v,      LTC0_v_sd,         LTC1_v,      LTC1_v_sd,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd, Temp_Status_mA,Analyzer_Status_mA,       Fit_Flag,      MIU_VALVE,       MIU_DESC
09/19/2023 15:26:50.732, 09/19/2023 15:26:50.673, 2.14753e+0, 0.00000e+0, 3.86242e+2, 0.00000e+0, 3.00893e+4, 0.00000e+0, 1.10707e+0, 0.00000e+0, 1.99112e+2, 0.00000e+0, 4.99106e+2, 0.00000e+0, 4.57648e+1, 0.00000e+0, 4.56563e+1, 0.00000e+0, 3.98603e+0, 0.00000e+0, 3.34071e+0, 0.00000e+0, 1.68307e+0, 0.00000e+0, -5.52397e+0, 0.00000e+0, 4.48379e+0, 0.00000e+0, -2.06246e+2, 0.00000e+0, 2.00000e+1, 1.80000e+1, 2, -1, Disabled
09/19/2023 15:26:55.839, 09/19/2023 15:26:55.752, 2.10221e+0, 0.00000e+0, 4.06450e+2, 0.00000e+0, 3.36976e+4, 0.00000e+0, 2.17552e+0, 0.00000e+0, 4.20624e+2, 0.00000e+0, 4.99125e+2, 0.00000e+0, 4.57731e+1, 0.00000e+0, 4.56580e+1, 0.00000e+0, 3.98594e+0, 0.00000e+0, 3.34116e+0, 0.00000e+0, 1.68336e+0, 0.00000e+0, -5.52380e+0, 0.00000e+0, 4.49005e+0, 0.00000e+0, 1.62303e+2, 0.00000e+0, 2.00000e+1, 1.80000e+1, 2, -1, Disabled
09/19/2023 15:27:00.884, 09/19/2023 15:27:00.833, 2.22409e+0, 0.00000e+0, 4.08733e+2, 0.00000e+0, 3.37927e+4, 0.00000e+0, 2.30188e+0, 0.00000e+0, 4.23028e+2, 0.00000e+0, 4.99112e+2, 0.00000e+0, 4.57573e+1, 0.00000e+0, 4.56410e+1, 0.00000e+0, 3.98611e+0, 0.00000e+0, 3.34122e+0, 0.00000e+0, 1.68360e+0, 0.00000e+0, -5.52365e+0, 0.00000e+0, 4.49357e+0, 0.00000e+0, 1.62880e+2, 0.00000e+0, 2.00000e+1, 1.80000e+1, 2, -1, Disabled
09/19/2023 15:27:06.045, 09/19/2023 15:27:05.911, 2.14797e+0, 0.00000e+0, 4.08329e+2, 0.00000e+0, 3.40157e+4, 0.00000e+0, 2.22361e+0, 0.00000e+0, 4.22708e+2, 0.00000e+0, 4.99134e+2, 0.00000e+0, 4.57531e+1, 0.00000e+0, 4.56235e+1, 0.00000e+0, 3.98612e+0, 0.00000e+0, 3.34099e+0, 0.00000e+0, 1.68381e+0, 0.00000e+0, -5.52351e+0, 0.00000e+0, 4.49693e+0, 0.00000e+0, 1.63431e+2, 0.00000e+0, 2.00000e+1, 1.80000e+1, 3, -1, Disabled
09/19/2023 15:27:11.074, 09/19/2023 15:27:10.991, 2.28286e+0, 0.00000e+0, 4.07999e+2, 0.00000e+0, 3.42084e+4, 0.00000e+0, 2.36372e+0, 0.00000e+0, 4.22450e+2, 0.00000e+0, 4.99099e+2, 0.00000e+0, 4.57427e+1, 0.00000e+0, 4.56175e+1, 0.00000e+0, 3.98647e+0, 0.00000e+0, 3.34108e+0, 0.00000e+0, 1.68402e+0, 0.00000e+0, -5.52337e+0, 0.00000e+0, 4.49895e+0, 0.00000e+0, 1.63762e+2, 0.00000e+0, 2.00000e+1, 1.80000e+1, 3, -1, Disabled
09/19/2023 15:27:16.143, 09/19/2023 15:27:16.071, 2.87792e+0, 0.00000e+0, 4.09106e+2, 0.00000e+0, 3.44878e+4, 0.00000e+0, 2.98072e+0, 0.00000e+0, 4.23720e+2, 0.00000e+0, 4.99153e+2, 0.00000e+0, 4.57463e+1, 0.00000e+0, 4.56149e+1, 0.00000e+0, 3.98743e+0, 0.00000e+0, 3.34082e+0, 0.00000e+0, 1.68421e+0, 0.00000e+0, -5.52326e+0, 0.00000e+0, 4.49993e+0, 0.00000e+0, 1.63922e+2, 0.00000e+0, 2.00000e+1, 1.80000e+1, 3, -1, Disabled
09/19/2023 15:27:21.212, 09/19/2023 15:27:21.150, 2.85481e+0, 0.00000e+0, 4.10031e+2, 0.00000e+0, 3.47536e+4, 0.00000e+0, 2.95760e+0, 0.00000e+0, 4.24794e+2, 0.00000e+0, 4.99126e+2, 0.00000e+0, 4.57367e+1, 0.00000e+0, 4.56055e+1, 0.00000e+0, 3.98740e+0, 0.00000e+0, 3.34105e+0, 0.00000e+0, 1.68441e+0, 0.00000e+0, -5.52313e+0, 0.00000e+0, 4.50262e+0, 0.00000e+0, 1.64364e+2, 0.00000e+0, 2.00000e+1, 1.80000e+1, 3, -1, Disabled
09/19/2023 15:27:26.283, 09/19/2023 15:27:26.229, 2.57423e+0, 0.00000e+0, 4.09931e+2, 0.00000e+0, 3.51270e+4, 0.00000e+0, 2.66795e+0, 0.00000e+0, 4.24854e+2, 0.00000e+0, 4.99137e+2, 0.00000e+0, 4.57245e+1, 0.00000e+0, 4.55955e+1, 0.00000e+0, 3.98711e+0, 0.00000e+0, 3.34097e+0, 0.00000e+0, 1.68458e+0, 0.00000e+0, -5.52303e+0, 0.00000e+0, 4.50551e+0, 0.00000e+0, 1.64838e+2, 0.00000e+0, 2.00000e+1, 1.80000e+1, 3, -1, Disabled
09/19/2023 15:27:31.364, 09/19/2023 15:27:31.308, 2.30831e+0, 0.00000e+0, 4.09495e+2, 0.00000e+0, 3.53295e+4, 0.00000e+0, 2.39285e+0, 0.00000e+0, 4.24492e+2, 0.00000e+0, 4.99097e+2, 0.00000e+0, 4.57124e+1, 0.00000e+0, 4.55912e+1, 0.00000e+0, 3.98612e+0, 0.00000e+0, 3.34082e+0, 0.00000e+0, 1.68475e+0, 0.00000e+0, -5.52294e+0, 0.00000e+0, 4.50645e+0, 0.00000e+0, 1.64992e+2, 0.00000e+0, 2.00000e+1, 1.80000e+1, 3, -1, Disabled
09/19/2023 15:27:36.439, 09/19/2023 15:27:36.388, 2.17971e+0, 0.00000e+0, 4.09814e+2, 0.00000e+0, 3.54109e+4, 0.00000e+0, 2.25973e+0, 0.00000e+0, 4.24859e+2, 0.00000e+0, 4.99138e+2, 0.00000e+0, 4.56984e+1, 0.00000e+0, 4.55948e+1, 0.00000e+0, 3.98643e+0, 0.00000e+0, 3.34138e+0, 0.00000e+0, 1.68490e+0, 0.00000e+0, -5.52284e+0, 0.00000e+0, 4.50837e+0, 0.00000e+0, 1.65306e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:27:41.520, 09/19/2023 15:27:41.468, 2.21307e+0, 0.00000e+0, 4.09780e+2, 0.00000e+0, 3.54407e+4, 0.00000e+0, 2.29438e+0, 0.00000e+0, 4.24836e+2, 0.00000e+0, 4.99120e+2, 0.00000e+0, 4.56878e+1, 0.00000e+0, 4.55952e+1, 0.00000e+0, 3.98651e+0, 0.00000e+0, 3.34138e+0, 0.00000e+0, 1.68503e+0, 0.00000e+0, -5.52277e+0, 0.00000e+0, 4.50923e+0, 0.00000e+0, 1.65447e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:27:46.603, 09/19/2023 15:27:46.547, 2.35795e+0, 0.00000e+0, 4.10017e+2, 0.00000e+0, 3.56100e+4, 0.00000e+0, 2.44501e+0, 0.00000e+0, 4.25157e+2, 0.00000e+0, 4.99130e+2, 0.00000e+0, 4.56812e+1, 0.00000e+0, 4.55949e+1, 0.00000e+0, 3.98681e+0, 0.00000e+0, 3.34121e+0, 0.00000e+0, 1.68516e+0, 0.00000e+0, -5.52269e+0, 0.00000e+0, 4.51078e+0, 0.00000e+0, 1.65701e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:27:51.694, 09/19/2023 15:27:51.627, 2.52606e+0, 0.00000e+0, 4.12196e+2, 0.00000e+0, 3.57568e+4, 0.00000e+0, 2.61973e+0, 0.00000e+0, 4.27481e+2, 0.00000e+0, 4.99156e+2, 0.00000e+0, 4.56734e+1, 0.00000e+0, 4.55860e+1, 0.00000e+0, 3.98694e+0, 0.00000e+0, 3.34125e+0, 0.00000e+0, 1.68528e+0, 0.00000e+0, -5.52262e+0, 0.00000e+0, 4.51207e+0, 0.00000e+0, 1.65914e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:27:56.780, 09/19/2023 15:27:56.707, 2.94601e+0, 0.00000e+0, 4.20501e+2, 0.00000e+0, 3.58957e+4, 0.00000e+0, 3.05570e+0, 0.00000e+0, 4.36157e+2, 0.00000e+0, 4.99161e+2, 0.00000e+0, 4.56750e+1, 0.00000e+0, 4.55767e+1, 0.00000e+0, 3.98751e+0, 0.00000e+0, 3.34111e+0, 0.00000e+0, 1.68540e+0, 0.00000e+0, -5.52254e+0, 0.00000e+0, 4.51338e+0, 0.00000e+0, 1.66128e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:28:01.860, 09/19/2023 15:28:01.786, 3.12980e+0, 0.00000e+0, 4.23304e+2, 0.00000e+0, 3.61471e+4, 0.00000e+0, 3.24718e+0, 0.00000e+0, 4.39179e+2, 0.00000e+0, 4.99178e+2, 0.00000e+0, 4.56701e+1, 0.00000e+0, 4.55689e+1, 0.00000e+0, 3.98758e+0, 0.00000e+0, 3.34116e+0, 0.00000e+0, 1.68553e+0, 0.00000e+0, -5.52249e+0, 0.00000e+0, 4.51384e+0, 0.00000e+0, 1.66203e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:28:06.925, 09/19/2023 15:28:06.865, 4.28611e+0, 0.00000e+0, 4.22091e+2, 0.00000e+0, 3.64175e+4, 0.00000e+0, 4.44810e+0, 0.00000e+0, 4.38044e+2, 0.00000e+0, 4.99128e+2, 0.00000e+0, 4.56614e+1, 0.00000e+0, 4.55584e+1, 0.00000e+0, 3.98921e+0, 0.00000e+0, 3.34070e+0, 0.00000e+0, 1.68565e+0, 0.00000e+0, -5.52244e+0, 0.00000e+0, 4.51611e+0, 0.00000e+0, 1.66576e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:28:12.006, 09/19/2023 15:28:11.944, 6.58529e+0, 0.00000e+0, 4.20913e+2, 0.00000e+0, 3.65708e+4, 0.00000e+0, 6.83526e+0, 0.00000e+0, 4.36891e+2, 0.00000e+0, 4.99154e+2, 0.00000e+0, 4.56572e+1, 0.00000e+0, 4.55450e+1, 0.00000e+0, 3.99345e+0, 0.00000e+0, 3.34115e+0, 0.00000e+0, 1.68580e+0, 0.00000e+0, -5.52239e+0, 0.00000e+0, 4.51599e+0, 0.00000e+0, 1.66556e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:28:17.079, 09/19/2023 15:28:17.024, 6.68554e+0, 0.00000e+0, 4.19088e+2, 0.00000e+0, 3.67893e+4, 0.00000e+0, 6.94089e+0, 0.00000e+0, 4.35095e+2, 0.00000e+0, 4.99153e+2, 0.00000e+0, 4.56510e+1, 0.00000e+0, 4.55345e+1, 0.00000e+0, 3.99440e+0, 0.00000e+0, 3.34063e+0, 0.00000e+0, 1.68593e+0, 0.00000e+0, -5.52234e+0, 0.00000e+0, 4.51776e+0, 0.00000e+0, 1.66846e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:28:22.155, 09/19/2023 15:28:22.103, 4.75431e+0, 0.00000e+0, 4.19085e+2, 0.00000e+0, 3.68420e+4, 0.00000e+0, 4.93617e+0, 0.00000e+0, 4.35115e+2, 0.00000e+0, 4.99172e+2, 0.00000e+0, 4.56428e+1, 0.00000e+0, 4.55281e+1, 0.00000e+0, 3.99050e+0, 0.00000e+0, 3.34118e+0, 0.00000e+0, 1.68605e+0, 0.00000e+0, -5.52229e+0, 0.00000e+0, 4.51790e+0, 0.00000e+0, 1.66868e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:28:27.237, 09/19/2023 15:28:27.183, 3.04282e+0, 0.00000e+0, 4.13233e+2, 0.00000e+0, 3.61873e+4, 0.00000e+0, 3.15706e+0, 0.00000e+0, 4.28748e+2, 0.00000e+0, 4.99137e+2, 0.00000e+0, 4.56453e+1, 0.00000e+0, 4.55072e+1, 0.00000e+0, 3.98798e+0, 0.00000e+0, 3.34121e+0, 0.00000e+0, 1.68613e+0, 0.00000e+0, -5.52226e+0, 0.00000e+0, 4.51996e+0, 0.00000e+0, 1.67206e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:28:32.315, 09/19/2023 15:28:32.263, 2.30521e+0, 0.00000e+0, 4.10154e+2, 0.00000e+0, 3.54169e+4, 0.00000e+0, 2.38985e+0, 0.00000e+0, 4.25214e+2, 0.00000e+0, 4.99192e+2, 0.00000e+0, 4.56391e+1, 0.00000e+0, 4.54957e+1, 0.00000e+0, 3.98660e+0, 0.00000e+0, 3.34097e+0, 0.00000e+0, 1.68619e+0, 0.00000e+0, -5.52224e+0, 0.00000e+0, 4.51990e+0, 0.00000e+0, 1.67196e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:28:37.396, 09/19/2023 15:28:37.342, 2.02696e+0, 0.00000e+0, 4.08465e+2, 0.00000e+0, 3.48589e+4, 0.00000e+0, 2.10017e+0, 0.00000e+0, 4.23218e+2, 0.00000e+0, 4.99157e+2, 0.00000e+0, 4.56363e+1, 0.00000e+0, 4.54875e+1, 0.00000e+0, 3.98638e+0, 0.00000e+0, 3.34115e+0, 0.00000e+0, 1.68625e+0, 0.00000e+0, -5.52221e+0, 0.00000e+0, 4.52170e+0, 0.00000e+0, 1.67492e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:28:42.475, 09/19/2023 15:28:42.422, 1.99055e+0, 0.00000e+0, 4.08563e+2, 0.00000e+0, 3.45463e+4, 0.00000e+0, 2.06178e+0, 0.00000e+0, 4.23183e+2, 0.00000e+0, 4.99180e+2, 0.00000e+0, 4.56325e+1, 0.00000e+0, 4.54836e+1, 0.00000e+0, 3.98635e+0, 0.00000e+0, 3.34101e+0, 0.00000e+0, 1.68630e+0, 0.00000e+0, -5.52218e+0, 0.00000e+0, 4.52192e+0, 0.00000e+0, 1.67528e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:28:47.553, 09/19/2023 15:28:47.500, 1.98335e+0, 0.00000e+0, 4.08188e+2, 0.00000e+0, 3.45045e+4, 0.00000e+0, 2.05423e+0, 0.00000e+0, 4.22775e+2, 0.00000e+0, 4.99121e+2, 0.00000e+0, 4.56362e+1, 0.00000e+0, 4.54744e+1, 0.00000e+0, 3.98640e+0, 0.00000e+0, 3.34125e+0, 0.00000e+0, 1.68635e+0, 0.00000e+0, -5.52215e+0, 0.00000e+0, 4.52322e+0, 0.00000e+0, 1.67740e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:28:52.635, 09/19/2023 15:28:52.580, 1.96365e+0, 0.00000e+0, 4.08776e+2, 0.00000e+0, 3.46810e+4, 0.00000e+0, 2.03419e+0, 0.00000e+0, 4.23462e+2, 0.00000e+0, 4.99188e+2, 0.00000e+0, 4.56359e+1, 0.00000e+0, 4.54649e+1, 0.00000e+0, 3.98617e+0, 0.00000e+0, 3.34147e+0, 0.00000e+0, 1.68638e+0, 0.00000e+0, -5.52213e+0, 0.00000e+0, 4.52363e+0, 0.00000e+0, 1.67808e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:28:57.715, 09/19/2023 15:28:57.659, 1.94444e+0, 0.00000e+0, 4.12181e+2, 0.00000e+0, 3.48664e+4, 0.00000e+0, 2.01468e+0, 0.00000e+0, 4.27071e+2, 0.00000e+0, 4.99161e+2, 0.00000e+0, 4.56450e+1, 0.00000e+0, 4.54656e+1, 0.00000e+0, 3.98631e+0, 0.00000e+0, 3.34109e+0, 0.00000e+0, 1.68642e+0, 0.00000e+0, -5.52210e+0, 0.00000e+0, 4.52474e+0, 0.00000e+0, 1.67989e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:29:02.790, 09/19/2023 15:29:02.739, 1.93884e+0, 0.00000e+0, 4.12877e+2, 0.00000e+0, 3.55902e+4, 0.00000e+0, 2.01039e+0, 0.00000e+0, 4.28114e+2, 0.00000e+0, 4.99145e+2, 0.00000e+0, 4.56430e+1, 0.00000e+0, 4.54702e+1, 0.00000e+0, 3.98634e+0, 0.00000e+0, 3.34118e+0, 0.00000e+0, 1.68645e+0, 0.00000e+0, -5.52207e+0, 0.00000e+0, 4.52609e+0, 0.00000e+0, 1.68212e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:29:07.873, 09/19/2023 15:29:07.819, 1.94328e+0, 0.00000e+0, 4.11941e+2, 0.00000e+0, 3.69717e+4, 0.00000e+0, 2.01788e+0, 0.00000e+0, 4.27756e+2, 0.00000e+0, 4.99141e+2, 0.00000e+0, 4.56359e+1, 0.00000e+0, 4.54736e+1, 0.00000e+0, 3.98569e+0, 0.00000e+0, 3.34123e+0, 0.00000e+0, 1.68648e+0, 0.00000e+0, -5.52204e+0, 0.00000e+0, 4.52635e+0, 0.00000e+0, 1.68253e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:29:12.953, 09/19/2023 15:29:12.898, 1.94802e+0, 0.00000e+0, 4.11035e+2, 0.00000e+0, 3.82612e+4, 0.00000e+0, 2.02552e+0, 0.00000e+0, 4.27387e+2, 0.00000e+0, 4.99139e+2, 0.00000e+0, 4.56309e+1, 0.00000e+0, 4.54794e+1, 0.00000e+0, 3.98584e+0, 0.00000e+0, 3.34104e+0, 0.00000e+0, 1.68652e+0, 0.00000e+0, -5.52201e+0, 0.00000e+0, 4.52734e+0, 0.00000e+0, 1.68417e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:29:18.029, 09/19/2023 15:29:17.978, 1.95436e+0, 0.00000e+0, 4.10580e+2, 0.00000e+0, 3.91690e+4, 0.00000e+0, 2.03403e+0, 0.00000e+0, 4.27318e+2, 0.00000e+0, 4.99162e+2, 0.00000e+0, 4.56290e+1, 0.00000e+0, 4.54818e+1, 0.00000e+0, 3.98555e+0, 0.00000e+0, 3.34099e+0, 0.00000e+0, 1.68655e+0, 0.00000e+0, -5.52201e+0, 0.00000e+0, 4.52769e+0, 0.00000e+0, 1.68473e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
09/19/2023 15:29:23.114, 09/19/2023 15:29:23.056, 1.96152e+0, 0.00000e+0, 4.10698e+2, 0.00000e+0, 3.97555e+4, 0.00000e+0, 2.04273e+0, 0.00000e+0, 4.27701e+2, 0.00000e+0, 4.99136e+2, 0.00000e+0, 4.56215e+1, 0.00000e+0, 4.54914e+1, 0.00000e+0, 3.98541e+0, 0.00000e+0, 3.34095e+0, 0.00000e+0, 1.68658e+0, 0.00000e+0, -5.52201e+0, 0.00000e+0, 4.52949e+0, 0.00000e+0, 1.68769e+2, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
