SN:3K430000005894 BD:Feb 22 2019 VC:6c0e877 MD5:fe950200890c20b9a008e6312c98ea70
SysTime,                      Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,         LTC0_v,      LTC0_v_sd,         LTC1_v,      LTC1_v_sd,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd, Temp_Status_mA,Analyzer_Status_mA,       Fit_Flag,      MIU_VALVE,       MIU_DESC
09/19/2023 14:50:13.364, 09/19/2023 14:50:13.311, 2.08649e+0, 0.00000e+0, 3.51395e+2, 0.00000e+0, 2.98667e+4, 0.00000e+0, 1.07536e+0, 0.00000e+0, 1.81106e+2, 0.00000e+0, 4.99522e+2, 0.00000e+0, 4.65601e+1, 0.00000e+0, 5.03554e+1, 0.00000e+0, 3.98410e+0, 0.00000e+0, 3.33862e+0, 0.00000e+0, 1.68310e+0, 0.00000e+0, -5.52308e+0, 0.00000e+0, 4.65448e+0, 0.00000e+0, -1.92256e+2, 0.00000e+0, 1.40000e+1, 1.80000e+1, 2, -1, Disabled
09/19/2023 14:50:18.438, 09/19/2023 14:50:18.390, 2.08002e+0, 0.00000e+0, 4.09086e+2, 0.00000e+0, 3.43778e+4, 0.00000e+0, 2.15407e+0, 0.00000e+0, 4.23650e+2, 0.00000e+0, 4.99500e+2, 0.00000e+0, 4.65530e+1, 0.00000e+0, 5.03306e+1, 0.00000e+0, 3.98445e+0, 0.00000e+0, 3.34000e+0, 0.00000e+0, 1.68339e+0, 0.00000e+0, -5.52140e+0, 0.00000e+0, 4.65341e+0, 0.00000e+0, 1.89084e+2, 0.00000e+0, 1.40000e+1, 1.80000e+1, 2, -1, Disabled
09/19/2023 14:50:23.520, 09/19/2023 14:50:23.469, 2.10609e+0, 0.00000e+0, 4.07016e+2, 0.00000e+0, 3.51738e+4, 0.00000e+0, 2.18287e+0, 0.00000e+0, 4.21855e+2, 0.00000e+0, 4.99523e+2, 0.00000e+0, 4.65502e+1, 0.00000e+0, 5.03177e+1, 0.00000e+0, 3.98446e+0, 0.00000e+0, 3.34015e+0, 0.00000e+0, 1.68358e+0, 0.00000e+0, -5.52102e+0, 0.00000e+0, 4.65223e+0, 0.00000e+0, 1.88890e+2, 0.00000e+0, 1.40000e+1, 1.80000e+1, 2, -1, Disabled
09/19/2023 14:50:28.645, 09/19/2023 14:50:28.549, 2.07392e+0, 0.00000e+0, 4.06747e+2, 0.00000e+0, 3.55052e+4, 0.00000e+0, 2.15027e+0, 0.00000e+0, 4.21721e+2, 0.00000e+0, 4.99461e+2, 0.00000e+0, 4.65511e+1, 0.00000e+0, 5.03047e+1, 0.00000e+0, 3.98483e+0, 0.00000e+0, 3.33987e+0, 0.00000e+0, 1.68373e+0, 0.00000e+0, -5.52077e+0, 0.00000e+0, 4.65219e+0, 0.00000e+0, 1.88884e+2, 0.00000e+0, 1.40000e+1, 1.80000e+1, 3, -1, Disabled
09/19/2023 14:50:33.700, 09/19/2023 14:50:33.628, 2.02408e+0, 0.00000e+0, 4.05638e+2, 0.00000e+0, 3.54102e+4, 0.00000e+0, 2.09839e+0, 0.00000e+0, 4.20529e+2, 0.00000e+0, 4.99484e+2, 0.00000e+0, 4.65460e+1, 0.00000e+0, 5.02851e+1, 0.00000e+0, 3.98494e+0, 0.00000e+0, 3.34013e+0, 0.00000e+0, 1.68386e+0, 0.00000e+0, -5.52055e+0, 0.00000e+0, 4.65095e+0, 0.00000e+0, 1.88680e+2, 0.00000e+0, 1.40000e+1, 1.80000e+1, 3, -1, Disabled
09/19/2023 14:50:38.776, 09/19/2023 14:50:38.707, 1.97323e+0, 0.00000e+0, 4.05726e+2, 0.00000e+0, 3.48778e+4, 0.00000e+0, 2.04454e+0, 0.00000e+0, 4.20388e+2, 0.00000e+0, 4.99455e+2, 0.00000e+0, 4.65439e+1, 0.00000e+0, 5.02668e+1, 0.00000e+0, 3.98462e+0, 0.00000e+0, 3.34035e+0, 0.00000e+0, 1.68399e+0, 0.00000e+0, -5.52036e+0, 0.00000e+0, 4.65098e+0, 0.00000e+0, 1.88686e+2, 0.00000e+0, 1.40000e+1, 1.80000e+1, 3, -1, Disabled
09/19/2023 14:50:43.862, 09/19/2023 14:50:43.787, 1.94287e+0, 0.00000e+0, 4.06962e+2, 0.00000e+0, 3.44017e+4, 0.00000e+0, 2.01209e+0, 0.00000e+0, 4.21461e+2, 0.00000e+0, 4.99484e+2, 0.00000e+0, 4.65474e+1, 0.00000e+0, 5.02426e+1, 0.00000e+0, 3.98520e+0, 0.00000e+0, 3.34019e+0, 0.00000e+0, 1.68410e+0, 0.00000e+0, -5.52017e+0, 0.00000e+0, 4.64965e+0, 0.00000e+0, 1.88467e+2, 0.00000e+0, 1.40000e+1, 1.80000e+1, 3, -1, Disabled
09/19/2023 14:50:48.918, 09/19/2023 14:50:48.867, 1.93812e+0, 0.00000e+0, 4.06515e+2, 0.00000e+0, 3.42879e+4, 0.00000e+0, 2.00694e+0, 0.00000e+0, 4.20949e+2, 0.00000e+0, 4.99450e+2, 0.00000e+0, 4.65463e+1, 0.00000e+0, 5.02234e+1, 0.00000e+0, 3.98493e+0, 0.00000e+0, 3.33983e+0, 0.00000e+0, 1.68421e+0, 0.00000e+0, -5.52000e+0, 0.00000e+0, 4.64978e+0, 0.00000e+0, 1.88488e+2, 0.00000e+0, 1.40000e+1, 1.80000e+1, 3, -1, Disabled
09/19/2023 14:50:54.004, 09/19/2023 14:50:53.946, 1.93795e+0, 0.00000e+0, 4.06292e+2, 0.00000e+0, 3.41726e+4, 0.00000e+0, 2.00652e+0, 0.00000e+0, 4.20667e+2, 0.00000e+0, 4.99491e+2, 0.00000e+0, 4.65493e+1, 0.00000e+0, 5.02120e+1, 0.00000e+0, 3.98492e+0, 0.00000e+0, 3.33992e+0, 0.00000e+0, 1.68432e+0, 0.00000e+0, -5.51986e+0, 0.00000e+0, 4.64871e+0, 0.00000e+0, 1.88313e+2, 0.00000e+0, 1.40000e+1, 1.80000e+1, 3, -1, Disabled
09/19/2023 14:50:59.077, 09/19/2023 14:50:59.025, 1.93714e+0, 0.00000e+0, 4.06311e+2, 0.00000e+0, 3.40218e+4, 0.00000e+0, 2.00537e+0, 0.00000e+0, 4.20621e+2, 0.00000e+0, 4.99449e+2, 0.00000e+0, 4.65526e+1, 0.00000e+0, 5.02007e+1, 0.00000e+0, 3.98436e+0, 0.00000e+0, 3.34025e+0, 0.00000e+0, 1.68442e+0, 0.00000e+0, -5.51972e+0, 0.00000e+0, 4.64841e+0, 0.00000e+0, 1.88264e+2, 0.00000e+0, 1.40000e+1, 1.00000e+1, 3, -1, Disabled
