SN:3K430000005894 BD:Feb 22 2019 VC:6c0e877 MD5:fe950200890c20b9a008e6312c98ea70
SysTime,                      Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,         LTC0_v,      LTC0_v_sd,         LTC1_v,      LTC1_v_sd,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd, Temp_Status_mA,Analyzer_Status_mA,       Fit_Flag,      MIU_VALVE,       MIU_DESC
07/27/2024 11:00:42.960, 07/27/2024 11:00:42.906, 2.05251e+0, 0.00000e+0, 4.02333e+2, 0.00000e+0, 2.42021e+4, 0.00000e+0, 1.05171e+0, 0.00000e+0, 2.06156e+2, 0.00000e+0, 4.99293e+2, 0.00000e+0, 4.42310e+1, 0.00000e+0, 4.58144e+1, 0.00000e+0, 3.98444e+0, 0.00000e+0, 3.34078e+0, 0.00000e+0, 1.68044e+0, 0.00000e+0, -5.52488e+0, 0.00000e+0, 4.08993e+0, 0.00000e+0, -2.38531e+2, 0.00000e+0, 2.00000e+1, 1.80000e+1, 2, -1, Disabled
07/27/2024 11:00:48.042, 07/27/2024 11:00:47.985, 2.15569e+0, 0.00000e+0, 4.51072e+2, 0.00000e+0, 2.75625e+4, 0.00000e+0, 2.21679e+0, 0.00000e+0, 4.63857e+2, 0.00000e+0, 4.99281e+2, 0.00000e+0, 4.42303e+1, 0.00000e+0, 4.58359e+1, 0.00000e+0, 3.98480e+0, 0.00000e+0, 3.34194e+0, 0.00000e+0, 1.68176e+0, 0.00000e+0, -5.52257e+0, 0.00000e+0, 4.09453e+0, 0.00000e+0, 9.74635e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 2, -1, Disabled
07/27/2024 11:00:53.172, 07/27/2024 11:00:53.064, 2.19200e+0, 0.00000e+0, 4.43735e+2, 0.00000e+0, 2.86601e+4, 0.00000e+0, 2.25667e+0, 0.00000e+0, 4.56828e+2, 0.00000e+0, 4.99295e+2, 0.00000e+0, 4.42364e+1, 0.00000e+0, 4.58504e+1, 0.00000e+0, 3.98528e+0, 0.00000e+0, 3.34219e+0, 0.00000e+0, 1.68258e+0, 0.00000e+0, -5.52180e+0, 0.00000e+0, 4.09653e+0, 0.00000e+0, 9.77910e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 3, -1, Disabled
07/27/2024 11:00:58.216, 07/27/2024 11:00:58.144, 2.19390e+0, 0.00000e+0, 4.39350e+2, 0.00000e+0, 2.96605e+4, 0.00000e+0, 2.26097e+0, 0.00000e+0, 4.52780e+2, 0.00000e+0, 4.99332e+2, 0.00000e+0, 4.42348e+1, 0.00000e+0, 4.58626e+1, 0.00000e+0, 3.98516e+0, 0.00000e+0, 3.34213e+0, 0.00000e+0, 1.68333e+0, 0.00000e+0, -5.52119e+0, 0.00000e+0, 4.09907e+0, 0.00000e+0, 9.82085e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 3, -1, Disabled
07/27/2024 11:01:03.286, 07/27/2024 11:01:03.224, 2.19447e+0, 0.00000e+0, 4.39464e+2, 0.00000e+0, 3.01941e+4, 0.00000e+0, 2.26280e+0, 0.00000e+0, 4.53147e+2, 0.00000e+0, 4.99324e+2, 0.00000e+0, 4.42366e+1, 0.00000e+0, 4.58711e+1, 0.00000e+0, 3.98491e+0, 0.00000e+0, 3.34198e+0, 0.00000e+0, 1.68404e+0, 0.00000e+0, -5.52063e+0, 0.00000e+0, 4.10029e+0, 0.00000e+0, 9.84076e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 3, -1, Disabled
07/27/2024 11:01:08.377, 07/27/2024 11:01:08.303, 2.20343e+0, 0.00000e+0, 4.44073e+2, 0.00000e+0, 3.06859e+4, 0.00000e+0, 2.27318e+0, 0.00000e+0, 4.58132e+2, 0.00000e+0, 4.99319e+2, 0.00000e+0, 4.42363e+1, 0.00000e+0, 4.58832e+1, 0.00000e+0, 3.98529e+0, 0.00000e+0, 3.34210e+0, 0.00000e+0, 1.68470e+0, 0.00000e+0, -5.52012e+0, 0.00000e+0, 4.10250e+0, 0.00000e+0, 9.87708e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 3, -1, Disabled
07/27/2024 11:01:13.461, 07/27/2024 11:01:13.383, 2.23798e+0, 0.00000e+0, 4.36299e+2, 0.00000e+0, 3.08844e+4, 0.00000e+0, 2.30930e+0, 0.00000e+0, 4.50203e+2, 0.00000e+0, 4.99298e+2, 0.00000e+0, 4.42367e+1, 0.00000e+0, 4.58911e+1, 0.00000e+0, 3.98511e+0, 0.00000e+0, 3.34191e+0, 0.00000e+0, 1.68533e+0, 0.00000e+0, -5.51965e+0, 0.00000e+0, 4.10348e+0, 0.00000e+0, 9.89316e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 3, -1, Disabled
07/27/2024 11:01:18.534, 07/27/2024 11:01:18.462, 2.25459e+0, 0.00000e+0, 4.25424e+2, 0.00000e+0, 3.09975e+4, 0.00000e+0, 2.32671e+0, 0.00000e+0, 4.39033e+2, 0.00000e+0, 4.99326e+2, 0.00000e+0, 4.42340e+1, 0.00000e+0, 4.58907e+1, 0.00000e+0, 3.98573e+0, 0.00000e+0, 3.34210e+0, 0.00000e+0, 1.68592e+0, 0.00000e+0, -5.51922e+0, 0.00000e+0, 4.10564e+0, 0.00000e+0, 9.92848e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 3, -1, Disabled
07/27/2024 11:01:23.615, 07/27/2024 11:01:23.541, 2.18377e+0, 0.00000e+0, 4.17459e+2, 0.00000e+0, 3.08003e+4, 0.00000e+0, 2.25317e+0, 0.00000e+0, 4.30726e+2, 0.00000e+0, 4.99308e+2, 0.00000e+0, 4.42321e+1, 0.00000e+0, 4.58891e+1, 0.00000e+0, 3.98553e+0, 0.00000e+0, 3.34234e+0, 0.00000e+0, 1.68648e+0, 0.00000e+0, -5.51882e+0, 0.00000e+0, 4.10646e+0, 0.00000e+0, 9.94205e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 3, -1, Disabled
07/27/2024 11:01:28.693, 07/27/2024 11:01:28.621, 2.09438e+0, 0.00000e+0, 4.12620e+2, 0.00000e+0, 3.04138e+4, 0.00000e+0, 2.16008e+0, 0.00000e+0, 4.25563e+2, 0.00000e+0, 4.99295e+2, 0.00000e+0, 4.42299e+1, 0.00000e+0, 4.58902e+1, 0.00000e+0, 3.98567e+0, 0.00000e+0, 3.34223e+0, 0.00000e+0, 1.68700e+0, 0.00000e+0, -5.51847e+0, 0.00000e+0, 4.10844e+0, 0.00000e+0, 9.97443e+1, 0.00000e+0, 2.00000e+1, 1.00000e+1, 3, -1, Disabled
