"","lake_id","site_id","visit","name","value","flags","comment","sample_depth","units"
"1",1000,"1",1,"chla_sonde",1.6,NA,NA,"deep","ug_l"
"2",1000,"1",1,"chla_sonde",5.6,NA,NA,"shallow","ug_l"
"3",1000,"1",1,"do",6.79,NA,NA,"deep","mg_l"
"4",1000,"1",1,"do",6.79,NA,NA,"shallow","mg_l"
"5",1000,"1",1,"ph",11.13,"1",NA,"deep","ph"
"6",1000,"1",1,"ph",11.65,"1",NA,"shallow","ph"
"7",1000,"1",1,"sp_cond",0.283,NA,NA,"deep","us_cm"
"8",1000,"1",1,"sp_cond",0.274,NA,NA,"shallow","us_cm"
"9",1000,"1",1,"temp",29.51,NA,NA,"deep","c"
"10",1000,"1",1,"temp",30.69,NA,NA,"shallow","c"
"11",1000,"1",1,"turb",-7.1,"1",NA,"deep","ntu"
"12",1000,"1",1,"turb",-7.2,"1",NA,"shallow","ntu"
"13",1000,"2",1,"chla_sonde",13.5,NA,NA,"deep","ug_l"
"14",1000,"2",1,"chla_sonde",6.7,NA,NA,"shallow","ug_l"
"15",1000,"2",1,"do",5,NA,NA,"deep","mg_l"
"16",1000,"2",1,"do",5,NA,NA,"shallow","mg_l"
"17",1000,"2",1,"ph",21.14,"1",NA,"deep","ph"
"18",1000,"2",1,"ph",21.09,"1",NA,"shallow","ph"
"19",1000,"2",1,"sp_cond",0.352,NA,NA,"deep","us_cm"
"20",1000,"2",1,"sp_cond",0.279,NA,NA,"shallow","us_cm"
"21",1000,"2",1,"temp",27.56,NA,NA,"deep","c"
"22",1000,"2",1,"temp",29.41,NA,NA,"shallow","c"
"23",1000,"2",1,"turb",-7.1,"1",NA,"deep","ntu"
"24",1000,"2",1,"turb",-7.1,"1",NA,"shallow","ntu"
"25",1000,"3",1,"chla_sonde",12.5,NA,NA,"deep","ug_l"
"26",1000,"3",1,"chla_sonde",2.5,NA,NA,"shallow","ug_l"
"27",1000,"3",1,"do",6.91,NA,NA,"deep","mg_l"
"28",1000,"3",1,"do",6.91,NA,NA,"shallow","mg_l"
"29",1000,"3",1,"ph",11.25,"1",NA,"deep","ph"
"30",1000,"3",1,"ph",11.23,"1",NA,"shallow","ph"
"31",1000,"3",1,"sp_cond",0.445,NA,NA,"deep","us_cm"
"32",1000,"3",1,"sp_cond",0.278,NA,NA,"shallow","us_cm"
"33",1000,"3",1,"temp",25.93,NA,NA,"deep","c"
"34",1000,"3",1,"temp",30.43,NA,NA,"shallow","c"
"35",1000,"3",1,"turb",-7,"1",NA,"deep","ntu"
"36",1000,"3",1,"turb",-7.2,"1",NA,"shallow","ntu"
"37",1000,"4",1,"chla_sonde",10.3,NA,NA,"deep","ug_l"
"38",1000,"4",1,"chla_sonde",3,NA,NA,"shallow","ug_l"
"39",1000,"4",1,"do",6.82,NA,NA,"deep","mg_l"
"40",1000,"4",1,"do",6.82,NA,NA,"shallow","mg_l"
"41",1000,"4",1,"ph",11.28,"1",NA,"deep","ph"
"42",1000,"4",1,"ph",11.16,"1",NA,"shallow","ph"
"43",1000,"4",1,"sp_cond",0.428,NA,NA,"deep","us_cm"
"44",1000,"4",1,"sp_cond",0.278,NA,NA,"shallow","us_cm"
"45",1000,"4",1,"temp",26,NA,NA,"deep","c"
"46",1000,"4",1,"temp",30.54,NA,NA,"shallow","c"
"47",1000,"4",1,"turb",-7,"1",NA,"deep","ntu"
"48",1000,"4",1,"turb",-7.2,"1",NA,"shallow","ntu"
"49",1000,"5",1,"chla_sonde",3.1,NA,NA,"deep","ug_l"
"50",1000,"5",1,"chla_sonde",6,NA,NA,"shallow","ug_l"
"51",1000,"5",1,"do",6.71,NA,NA,"deep","mg_l"
"52",1000,"5",1,"do",6.71,NA,NA,"shallow","mg_l"
"53",1000,"5",1,"ph",11.08,"1",NA,"deep","ph"
"54",1000,"5",1,"ph",11.06,"1",NA,"shallow","ph"
"55",1000,"5",1,"sp_cond",0.283,NA,NA,"deep","us_cm"
"56",1000,"5",1,"sp_cond",0.274,NA,NA,"shallow","us_cm"
"57",1000,"5",1,"temp",29.58,NA,NA,"deep","c"
"58",1000,"5",1,"temp",30.89,NA,NA,"shallow","c"
"59",1000,"5",1,"turb",-7.2,"1",NA,"deep","ntu"
"60",1000,"5",1,"turb",-7.2,"1",NA,"shallow","ntu"
"61",1000,"6",1,"chla_sonde",18.9,NA,NA,"deep","ug_l"
"62",1000,"6",1,"chla_sonde",2.8,NA,NA,"shallow","ug_l"
"63",1000,"6",1,"do",6.9,NA,NA,"deep","mg_l"
"64",1000,"6",1,"do",6.9,NA,NA,"shallow","mg_l"
"65",1000,"6",1,"ph",11.12,"1",NA,"deep","ph"
"66",1000,"6",1,"ph",11.16,"1",NA,"shallow","ph"
"67",1000,"6",1,"sp_cond",0.327,NA,NA,"deep","us_cm"
"68",1000,"6",1,"sp_cond",0.278,NA,NA,"shallow","us_cm"
"69",1000,"6",1,"temp",29.07,NA,NA,"deep","c"
"70",1000,"6",1,"temp",30.44,NA,NA,"shallow","c"
