lake_id,site_id,collection_date,sample_type,analyte,finalConc,nutrients_qual,rep,sample_depth,analyte_flag,units
1000,1,7/27/2024,blank,nh4,6,H,1,blank,ND,ug_n_l
1000,1,7/27/2024,unknown,nh4,13.3,H,1,shallow,L,ug_n_l
1000,1,8/3/2024,unknown,nh4,6,H,1,deep,ND,ug_n_l
1000,2,8/3/2024,blank,nh4,100,H,1,blank,,ug_n_l
1000,2,8/3/2024,unknown,nh4,20,H,1,shallow,,ug_n_l
1000,2,8/3/2024,unknown,nh4,6.16,H,2,shallow,L,ug_n_l
1000,2,7/27/2024,unknown,nh4,6,H,1,deep,ND,ug_n_l
1000,3,7/27/2024,blank,nh4,17,H,1,blank,L,ug_n_l
1000,3,7/27/2024,unknown,nh4,6,H,1,shallow,ND,ug_n_l
1000,3,7/27/2024,unknown,nh4,6,H,2,shallow,ND,ug_n_l
1000,3,7/27/2024,unknown,nh4,2600,H,1,deep,,ug_n_l
1000,4,7/27/2024,blank,nh4,7.25,H,1,blank,L,ug_n_l
1000,4,7/27/2024,unknown,nh4,8.27,H,1,shallow,L,ug_n_l
1000,4,7/27/2024,unknown,nh4,6,H,2,shallow,ND,ug_n_l
1000,4,7/27/2024,unknown,nh4,12.9,H,1,deep,L,ug_n_l
1000,9,8/3/2024,blank,nh4,7.28,H,1,blank,L,ug_n_l
1000,9,8/3/2024,unknown,nh4,13.9,H,1,shallow,L,ug_n_l
1000,9,8/3/2024,unknown,nh4,6.18,H,1,deep,L,ug_n_l
1000,9,8/3/2024,unknown,nh4,3470,H,1,deep,,ug_n_l
1000,16,8/3/2024,blank,nh4,9.37,H,1,blank,L,ug_n_l
1000,16,8/3/2024,unknown,nh4,16.1,H,1,shallow,L,ug_n_l
1000,16,8/3/2024,unknown,nh4,6,H,2,shallow,ND,ug_n_l
1000,16,8/3/2024,unknown,nh4,6,H,2,shallow,ND,ug_n_l
1000,17,8/10/2024,blank,nh4,13.1,H,1,blank,L,ug_n_l
1000,17,8/10/2024,unknown,nh4,6,H,1,shallow,ND,ug_n_l
1000,17,8/10/2024,unknown,nh4,6,H,2,shallow,ND,ug_n_l
1000,17,8/10/2024,unknown,nh4,6,H,1,deep,ND,ug_n_l
1000,18,8/10/2024,blank,nh4,6.72,H,1,blank,L,ug_n_l
1000,18,8/10/2024,unknown,nh4,6,H,1,shallow,ND,ug_n_l
1000,18,8/10/2024,unknown,nh4,69.4,H,2,shallow,,ug_n_l
1000,18,8/10/2024,unknown,nh4,31.4,H,1,deep,,ug_n_l
1000,26,8/10/2024,blank,nh4,6.02,H,1,blank,L,ug_n_l
1000,26,8/10/2024,unknown,nh4,6,H,1,shallow,ND,ug_n_l
1000,26,8/10/2024,unknown,nh4,26.2,H,2,shallow,,ug_n_l
1000,26,8/10/2024,unknown,nh4,377,H,1,deep,,ug_n_l
1000,26,8/10/2024,unknown,nh4,362,H,1,deep,,ug_n_l
1000,1,7/27/2024,blank,op,4.52,H,1,blank,L,ug_p_l
1000,1,7/27/2024,unknown,op,23.2,H,1,shallow,,ug_p_l
1000,1,8/3/2024,unknown,op,21.9,H,1,deep,,ug_p_l
1000,2,8/3/2024,blank,op,6.48,H,1,blank,,ug_p_l
1000,2,8/3/2024,unknown,op,19.4,H,1,shallow,,ug_p_l
1000,2,8/3/2024,unknown,op,17.8,H,2,shallow,,ug_p_l
1000,2,7/27/2024,unknown,op,18.9,H,1,deep,,ug_p_l
1000,3,7/27/2024,blank,op,5.03,H,1,blank,,ug_p_l
1000,3,7/27/2024,unknown,op,18.7,H,1,shallow,,ug_p_l
1000,3,7/27/2024,unknown,op,19.3,H,2,shallow,,ug_p_l
1000,3,7/27/2024,unknown,op,38.4,H,1,deep,,ug_p_l
1000,3,7/27/2024,unknown,op,38.4,H,1,deep,,ug_p_l
1000,4,7/27/2024,blank,op,4.24,H,1,blank,L,ug_p_l
1000,4,7/27/2024,unknown,op,18.8,H,1,shallow,,ug_p_l
1000,4,7/27/2024,unknown,op,18.6,H,2,shallow,,ug_p_l
1000,4,7/27/2024,unknown,op,19.1,H,1,deep,,ug_p_l
1000,9,8/3/2024,blank,op,6.48,H,1,blank,,ug_p_l
1000,9,8/3/2024,unknown,op,19.5,H,1,shallow,,ug_p_l
1000,9,8/3/2024,unknown,op,18.7,H,1,deep,,ug_p_l
1000,16,8/3/2024,unknown,op,47.4,H,1,deep,,ug_p_l
1000,16,8/3/2024,blank,op,3.39,H,1,blank,L,ug_p_l
1000,16,8/3/2024,unknown,op,19.7,H,1,shallow,,ug_p_l
1000,16,8/3/2024,unknown,op,19.5,H,2,shallow,,ug_p_l
